block_label,bin_left,bin_right,bin_center,density,sine_kernel
block_1e21_10k,0.0,0.05,0.025,0.002,0.002054477198427662
block_1e21_10k,0.05,0.1,0.07500000000000001,0.018,0.018369068575370906
block_1e21_10k,0.1,0.15000000000000002,0.125,0.044,0.05035879644821628
block_1e21_10k,0.15000000000000002,0.2,0.17500000000000002,0.102,0.09677830454938052
block_1e21_10k,0.2,0.25,0.225,0.146,0.15584139770858585
block_1e21_10k,0.25,0.30000000000000004,0.275,0.202,0.22531366080879422
block_1e21_10k,0.30000000000000004,0.35000000000000003,0.32500000000000007,0.29,0.3026270369783429
block_1e21_10k,0.35000000000000003,0.4,0.375,0.41,0.3850094944935739
block_1e21_10k,0.4,0.45,0.42500000000000004,0.54,0.4696220918860943
block_1e21_10k,0.45,0.5,0.475,0.592,0.5536954340583411
block_1e21_10k,0.5,0.55,0.525,0.62,0.634657713594243
block_1e21_10k,0.55,0.6000000000000001,0.5750000000000001,0.708,0.7102472297827623
block_1e21_10k,0.6000000000000001,0.65,0.625,0.786,0.7786034180176866
block_1e21_10k,0.65,0.7000000000000001,0.675,0.842,0.8383319194092455
block_1e21_10k,0.7000000000000001,0.75,0.7250000000000001,0.864,0.8885409666562
block_1e21_10k,0.75,0.8,0.775,0.904,0.9288482343542096
block_1e21_10k,0.8,0.8500000000000001,0.8250000000000001,0.944,0.9593591707281172
block_1e21_10k,0.8500000000000001,0.9,0.875,0.962,0.9806195672744534
block_1e21_10k,0.9,0.9500000000000001,0.925,0.942,0.993546619150605
block_1e21_10k,0.9500000000000001,1.0,0.9750000000000001,1.012,0.9993438885451666
block_1e21_10k,1.0,1.05,1.025,0.97,0.9994063381779884
block_1e21_10k,1.05,1.1,1.0750000000000002,0.978,0.9952219154230277
block_1e21_10k,1.1,1.1500000000000001,1.125,1.056,0.9882760345240521
block_1e21_10k,1.1500000000000001,1.2000000000000002,1.1750000000000003,1.038,0.9799647518890536
block_1e21_10k,1.2000000000000002,1.25,1.225,0.932,0.9715215132088277
block_1e21_10k,1.25,1.3,1.275,0.962,0.963961150695065
block_1e21_10k,1.3,1.35,1.3250000000000002,0.914,0.9580434208790815
block_1e21_10k,1.35,1.4000000000000001,1.375,0.968,0.9542569045491088
block_1e21_10k,1.4000000000000001,1.4500000000000002,1.4250000000000003,0.962,0.9528226483702927
block_1e21_10k,1.4500000000000002,1.5,1.475,0.924,0.9537156138164496
block_1e21_10k,1.5,1.55,1.525,0.896,0.9567009007511585
block_1e21_10k,1.55,1.6,1.5750000000000002,0.944,0.9613808980990378
block_1e21_10k,1.6,1.6500000000000001,1.625,1.024,0.9672490263339774
block_1e21_10k,1.6500000000000001,1.7000000000000002,1.6750000000000003,0.958,0.9737455935062018
block_1e21_10k,1.7000000000000002,1.75,1.725,1.008,0.9803114793022188
block_1e21_10k,1.75,1.8,1.775,1.018,0.9864358566186064
