block_label,bin_left,bin_right,bin_center,density,sine_kernel
gate0_default,0.0,0.05,0.025,0.004,0.002054477198427662
gate0_default,0.05,0.1,0.07500000000000001,0.006,0.018369068575370906
gate0_default,0.1,0.15000000000000002,0.125,0.024,0.05035879644821628
gate0_default,0.15000000000000002,0.2,0.17500000000000002,0.05,0.09677830454938052
gate0_default,0.2,0.25,0.225,0.108,0.15584139770858585
gate0_default,0.25,0.30000000000000004,0.275,0.134,0.22531366080879422
gate0_default,0.30000000000000004,0.35000000000000003,0.32500000000000007,0.224,0.3026270369783429
gate0_default,0.35000000000000003,0.4,0.375,0.34,0.3850094944935739
gate0_default,0.4,0.45,0.42500000000000004,0.378,0.4696220918860943
gate0_default,0.45,0.5,0.475,0.488,0.5536954340583411
gate0_default,0.5,0.55,0.525,0.608,0.634657713594243
gate0_default,0.55,0.6000000000000001,0.5750000000000001,0.676,0.7102472297827623
gate0_default,0.6000000000000001,0.65,0.625,0.792,0.7786034180176866
gate0_default,0.65,0.7000000000000001,0.675,0.818,0.8383319194092455
gate0_default,0.7000000000000001,0.75,0.7250000000000001,1.038,0.8885409666562
gate0_default,0.75,0.8,0.775,1.03,0.9288482343542096
gate0_default,0.8,0.8500000000000001,0.8250000000000001,1.014,0.9593591707281172
gate0_default,0.8500000000000001,0.9,0.875,0.996,0.9806195672744534
gate0_default,0.9,0.9500000000000001,0.925,1.006,0.993546619150605
gate0_default,0.9500000000000001,1.0,0.9750000000000001,1.066,0.9993438885451666
gate0_default,1.0,1.05,1.025,0.994,0.9994063381779884
gate0_default,1.05,1.1,1.0750000000000002,1.018,0.9952219154230277
gate0_default,1.1,1.1500000000000001,1.125,0.934,0.9882760345240521
gate0_default,1.1500000000000001,1.2000000000000002,1.1750000000000003,0.942,0.9799647518890536
gate0_default,1.2000000000000002,1.25,1.225,0.984,0.9715215132088277
gate0_default,1.25,1.3,1.275,0.916,0.963961150695065
gate0_default,1.3,1.35,1.3250000000000002,0.918,0.9580434208790815
gate0_default,1.35,1.4000000000000001,1.375,0.924,0.9542569045491088
gate0_default,1.4000000000000001,1.4500000000000002,1.4250000000000003,1.02,0.9528226483702927
gate0_default,1.4500000000000002,1.5,1.475,0.902,0.9537156138164496
gate0_default,1.5,1.55,1.525,0.968,0.9567009007511585
gate0_default,1.55,1.6,1.5750000000000002,0.964,0.9613808980990378
gate0_default,1.6,1.6500000000000001,1.625,1.032,0.9672490263339774
gate0_default,1.6500000000000001,1.7000000000000002,1.6750000000000003,0.978,0.9737455935062018
gate0_default,1.7000000000000002,1.75,1.725,1.028,0.9803114793022188
gate0_default,1.75,1.8,1.775,0.984,0.9864358566186064
gate0_default,1.8,1.85,1.8250000000000002,0.996,0.9916949027815575
gate0_default,1.85,1.9000000000000001,1.875,1.094,0.9957793724286588
gate0_default,1.9000000000000001,1.9500000000000002,1.9250000000000003,0.908,0.9985099210013794
gate0_default,1.9500000000000002,2.0,1.975,1.024,0.9998400984581315
