config_id,source,bin_width,u_max,max_k,matrix_size,samples,seed,l2_to_sine_kernel,mean_normalized_spacing,notes
h001,gate0_default,0.025,3,25,,,,0.0646963859899,0.999898758886,existing zeta block; no data fetched
h001,block_1e12_10k,0.025,3,25,,,,0.0515006036014,1.00010869774,existing zeta block; no data fetched
h001,block_1e21_10k,0.025,3,25,,,,0.046906198546,0.999969907746,existing zeta block; no data fetched
h001,poisson,0.025,3,25,,,314159,0.339631063017,0.996747997053,Poisson negative control
h002,gate0_default,0.025,3,50,,,,0.0646963859899,0.999898758886,existing zeta block; no data fetched
h002,block_1e12_10k,0.025,3,50,,,,0.0515006036014,1.00010869774,existing zeta block; no data fetched
h002,block_1e21_10k,0.025,3,50,,,,0.046906198546,0.999969907746,existing zeta block; no data fetched
h002,poisson,0.025,3,50,,,314159,0.339631063017,0.996747997053,Poisson negative control
h003,gate0_default,0.025,3,100,,,,0.0646963859899,0.999898758886,existing zeta block; no data fetched
h003,block_1e12_10k,0.025,3,100,,,,0.0515006036014,1.00010869774,existing zeta block; no data fetched
h003,block_1e21_10k,0.025,3,100,,,,0.046906198546,0.999969907746,existing zeta block; no data fetched
h003,poisson,0.025,3,100,,,314159,0.339631063017,0.996747997053,Poisson negative control
h004,gate0_default,0.025,5,25,,,,0.0639352604668,0.999898758886,existing zeta block; no data fetched
h004,block_1e12_10k,0.025,5,25,,,,0.0566670183245,1.00010869774,existing zeta block; no data fetched
h004,block_1e21_10k,0.025,5,25,,,,0.0543461450618,0.999969907746,existing zeta block; no data fetched
h004,poisson,0.025,5,25,,,314159,0.265340703145,0.996747997053,Poisson negative control
h005,gate0_default,0.025,5,50,,,,0.0639352604668,0.999898758886,existing zeta block; no data fetched
h005,block_1e12_10k,0.025,5,50,,,,0.0566670183245,1.00010869774,existing zeta block; no data fetched
h005,block_1e21_10k,0.025,5,50,,,,0.0543461450618,0.999969907746,existing zeta block; no data fetched
h005,poisson,0.025,5,50,,,314159,0.265340703145,0.996747997053,Poisson negative control
h006,gate0_default,0.025,5,100,,,,0.0639352604668,0.999898758886,existing zeta block; no data fetched
h006,block_1e12_10k,0.025,5,100,,,,0.0566670183245,1.00010869774,existing zeta block; no data fetched
h006,block_1e21_10k,0.025,5,100,,,,0.0543461450618,0.999969907746,existing zeta block; no data fetched
h006,poisson,0.025,5,100,,,314159,0.265340703145,0.996747997053,Poisson negative control
h007,gate0_default,0.025,8,25,,,,0.0714422640929,0.999898758886,existing zeta block; no data fetched
h007,block_1e12_10k,0.025,8,25,,,,0.0619499185353,1.00010869774,existing zeta block; no data fetched
h007,block_1e21_10k,0.025,8,25,,,,0.0577718518367,0.999969907746,existing zeta block; no data fetched
h007,poisson,0.025,8,25,,,314159,0.213668611638,0.996747997053,Poisson negative control
h008,gate0_default,0.025,8,50,,,,0.0714422640929,0.999898758886,existing zeta block; no data fetched
h008,block_1e12_10k,0.025,8,50,,,,0.0619499185353,1.00010869774,existing zeta block; no data fetched
h008,block_1e21_10k,0.025,8,50,,,,0.0577718518367,0.999969907746,existing zeta block; no data fetched
h008,poisson,0.025,8,50,,,314159,0.213668611638,0.996747997053,Poisson negative control
h009,gate0_default,0.025,8,100,,,,0.0714422640929,0.999898758886,existing zeta block; no data fetched
h009,block_1e12_10k,0.025,8,100,,,,0.0619499185353,1.00010869774,existing zeta block; no data fetched
h009,block_1e21_10k,0.025,8,100,,,,0.0577718518367,0.999969907746,existing zeta block; no data fetched
h009,poisson,0.025,8,100,,,314159,0.213668611638,0.996747997053,Poisson negative control
h010,gate0_default,0.05,3,25,,,,0.0513176388171,0.999898758886,existing zeta block; no data fetched
h010,block_1e12_10k,0.05,3,25,,,,0.0359744162633,1.00010869774,existing zeta block; no data fetched
h010,block_1e21_10k,0.05,3,25,,,,0.0318264917156,0.999969907746,existing zeta block; no data fetched
h010,poisson,0.05,3,25,,,314159,0.336807381158,0.996747997053,Poisson negative control
h011,gate0_default,0.05,3,50,,,,0.0513176388171,0.999898758886,existing zeta block; no data fetched
h011,block_1e12_10k,0.05,3,50,,,,0.0359744162633,1.00010869774,existing zeta block; no data fetched
h011,block_1e21_10k,0.05,3,50,,,,0.0318264917156,0.999969907746,existing zeta block; no data fetched
h011,poisson,0.05,3,50,,,314159,0.336807381158,0.996747997053,Poisson negative control
h012,gate0_default,0.05,3,100,,,,0.0513176388171,0.999898758886,existing zeta block; no data fetched
h012,block_1e12_10k,0.05,3,100,,,,0.0359744162633,1.00010869774,existing zeta block; no data fetched
h012,block_1e21_10k,0.05,3,100,,,,0.0318264917156,0.999969907746,existing zeta block; no data fetched
h012,poisson,0.05,3,100,,,314159,0.336807381158,0.996747997053,Poisson negative control
h013,gate0_default,0.05,5,25,,,,0.0479815015085,0.999898758886,existing zeta block; no data fetched
h013,block_1e12_10k,0.05,5,25,,,,0.0399492422825,1.00010869774,existing zeta block; no data fetched
h013,block_1e21_10k,0.05,5,25,,,,0.0369651551678,0.999969907746,existing zeta block; no data fetched
h013,poisson,0.05,5,25,,,314159,0.261767716519,0.996747997053,Poisson negative control
h014,gate0_default,0.05,5,50,,,,0.0479815015085,0.999898758886,existing zeta block; no data fetched
h014,block_1e12_10k,0.05,5,50,,,,0.0399492422825,1.00010869774,existing zeta block; no data fetched
h014,block_1e21_10k,0.05,5,50,,,,0.0369651551678,0.999969907746,existing zeta block; no data fetched
h014,poisson,0.05,5,50,,,314159,0.261767716519,0.996747997053,Poisson negative control
h015,gate0_default,0.05,5,100,,,,0.0479815015085,0.999898758886,existing zeta block; no data fetched
h015,block_1e12_10k,0.05,5,100,,,,0.0399492422825,1.00010869774,existing zeta block; no data fetched
h015,block_1e21_10k,0.05,5,100,,,,0.0369651551678,0.999969907746,existing zeta block; no data fetched
h015,poisson,0.05,5,100,,,314159,0.261767716519,0.996747997053,Poisson negative control
h016,gate0_default,0.05,8,25,,,,0.0558734289396,0.999898758886,existing zeta block; no data fetched
h016,block_1e12_10k,0.05,8,25,,,,0.043405679032,1.00010869774,existing zeta block; no data fetched
h016,block_1e21_10k,0.05,8,25,,,,0.039234784257,0.999969907746,existing zeta block; no data fetched
h016,poisson,0.05,8,25,,,314159,0.209195454319,0.996747997053,Poisson negative control
h017,gate0_default,0.05,8,50,,,,0.0558734289396,0.999898758886,existing zeta block; no data fetched
h017,block_1e12_10k,0.05,8,50,,,,0.043405679032,1.00010869774,existing zeta block; no data fetched
h017,block_1e21_10k,0.05,8,50,,,,0.039234784257,0.999969907746,existing zeta block; no data fetched
h017,poisson,0.05,8,50,,,314159,0.209195454319,0.996747997053,Poisson negative control
h018,gate0_default,0.05,8,100,,,,0.0558734289396,0.999898758886,existing zeta block; no data fetched
h018,block_1e12_10k,0.05,8,100,,,,0.043405679032,1.00010869774,existing zeta block; no data fetched
h018,block_1e21_10k,0.05,8,100,,,,0.039234784257,0.999969907746,existing zeta block; no data fetched
h018,poisson,0.05,8,100,,,314159,0.209195454319,0.996747997053,Poisson negative control
h019,gate0_default,0.1,3,25,,,,0.0415248183138,0.999898758886,existing zeta block; no data fetched
h019,block_1e12_10k,0.1,3,25,,,,0.015727821002,1.00010869774,existing zeta block; no data fetched
h019,block_1e21_10k,0.1,3,25,,,,0.0253587829703,0.999969907746,existing zeta block; no data fetched
h019,poisson,0.1,3,25,,,314159,0.334981759443,0.996747997053,Poisson negative control
h020,gate0_default,0.1,3,50,,,,0.0415248183138,0.999898758886,existing zeta block; no data fetched
h020,block_1e12_10k,0.1,3,50,,,,0.015727821002,1.00010869774,existing zeta block; no data fetched
h020,block_1e21_10k,0.1,3,50,,,,0.0253587829703,0.999969907746,existing zeta block; no data fetched
h020,poisson,0.1,3,50,,,314159,0.334981759443,0.996747997053,Poisson negative control
h021,gate0_default,0.1,3,100,,,,0.0415248183138,0.999898758886,existing zeta block; no data fetched
h021,block_1e12_10k,0.1,3,100,,,,0.015727821002,1.00010869774,existing zeta block; no data fetched
h021,block_1e21_10k,0.1,3,100,,,,0.0253587829703,0.999969907746,existing zeta block; no data fetched
h021,poisson,0.1,3,100,,,314159,0.334981759443,0.996747997053,Poisson negative control
h022,gate0_default,0.1,5,25,,,,0.0374148903714,0.999898758886,existing zeta block; no data fetched
h022,block_1e12_10k,0.1,5,25,,,,0.0227422466485,1.00010869774,existing zeta block; no data fetched
h022,block_1e21_10k,0.1,5,25,,,,0.0299883324021,0.999969907746,existing zeta block; no data fetched
h022,poisson,0.1,5,25,,,314159,0.259927850511,0.996747997053,Poisson negative control
h023,gate0_default,0.1,5,50,,,,0.0374148903714,0.999898758886,existing zeta block; no data fetched
h023,block_1e12_10k,0.1,5,50,,,,0.0227422466485,1.00010869774,existing zeta block; no data fetched
h023,block_1e21_10k,0.1,5,50,,,,0.0299883324021,0.999969907746,existing zeta block; no data fetched
h023,poisson,0.1,5,50,,,314159,0.259927850511,0.996747997053,Poisson negative control
h024,gate0_default,0.1,5,100,,,,0.0374148903714,0.999898758886,existing zeta block; no data fetched
h024,block_1e12_10k,0.1,5,100,,,,0.0227422466485,1.00010869774,existing zeta block; no data fetched
h024,block_1e21_10k,0.1,5,100,,,,0.0299883324021,0.999969907746,existing zeta block; no data fetched
h024,poisson,0.1,5,100,,,314159,0.259927850511,0.996747997053,Poisson negative control
h025,gate0_default,0.1,8,25,,,,0.0462161173363,0.999898758886,existing zeta block; no data fetched
h025,block_1e12_10k,0.1,8,25,,,,0.0249569499732,1.00010869774,existing zeta block; no data fetched
h025,block_1e21_10k,0.1,8,25,,,,0.0296163070835,0.999969907746,existing zeta block; no data fetched
h025,poisson,0.1,8,25,,,314159,0.206467188453,0.996747997053,Poisson negative control
h026,gate0_default,0.1,8,50,,,,0.0462161173363,0.999898758886,existing zeta block; no data fetched
h026,block_1e12_10k,0.1,8,50,,,,0.0249569499732,1.00010869774,existing zeta block; no data fetched
h026,block_1e21_10k,0.1,8,50,,,,0.0296163070835,0.999969907746,existing zeta block; no data fetched
h026,poisson,0.1,8,50,,,314159,0.206467188453,0.996747997053,Poisson negative control
h027,gate0_default,0.1,8,100,,,,0.0462161173363,0.999898758886,existing zeta block; no data fetched
h027,block_1e12_10k,0.1,8,100,,,,0.0249569499732,1.00010869774,existing zeta block; no data fetched
h027,block_1e21_10k,0.1,8,100,,,,0.0296163070835,0.999969907746,existing zeta block; no data fetched
h027,poisson,0.1,8,100,,,314159,0.206467188453,0.996747997053,Poisson negative control
h001_m60_s15,gue,0.025,3,25,60,15,1730,0.240519740117,1,GUE sine-kernel comparison
h001_m60_s15,goe,0.025,3,25,60,15,1729,0.25237801148,1,GOE contrast ensemble
h001_m60_s25,gue,0.025,3,25,60,25,1730,0.182117510654,1,GUE sine-kernel comparison
h001_m60_s25,goe,0.025,3,25,60,25,1729,0.210932734224,1,GOE contrast ensemble
h001_m80_s15,gue,0.025,3,25,80,15,1730,0.235490146852,1,GUE sine-kernel comparison
h001_m80_s15,goe,0.025,3,25,80,15,1729,0.212894475188,1,GOE contrast ensemble
h001_m80_s25,gue,0.025,3,25,80,25,1730,0.185037511873,1,GUE sine-kernel comparison
h001_m80_s25,goe,0.025,3,25,80,25,1729,0.171624132554,1,GOE contrast ensemble
h001_m120_s15,gue,0.025,3,25,120,15,1730,0.15457497169,1,GUE sine-kernel comparison
h001_m120_s15,goe,0.025,3,25,120,15,1729,0.184073875343,1,GOE contrast ensemble
h001_m120_s25,gue,0.025,3,25,120,25,1730,0.118083871407,1,GUE sine-kernel comparison
h001_m120_s25,goe,0.025,3,25,120,25,1729,0.164694917242,1,GOE contrast ensemble
h002_m60_s15,gue,0.025,3,50,60,15,1730,0.240519740117,1,GUE sine-kernel comparison
h002_m60_s15,goe,0.025,3,50,60,15,1729,0.25237801148,1,GOE contrast ensemble
h002_m60_s25,gue,0.025,3,50,60,25,1730,0.182117510654,1,GUE sine-kernel comparison
h002_m60_s25,goe,0.025,3,50,60,25,1729,0.210932734224,1,GOE contrast ensemble
h002_m80_s15,gue,0.025,3,50,80,15,1730,0.235490146852,1,GUE sine-kernel comparison
h002_m80_s15,goe,0.025,3,50,80,15,1729,0.212894475188,1,GOE contrast ensemble
h002_m80_s25,gue,0.025,3,50,80,25,1730,0.185037511873,1,GUE sine-kernel comparison
h002_m80_s25,goe,0.025,3,50,80,25,1729,0.171624132554,1,GOE contrast ensemble
h002_m120_s15,gue,0.025,3,50,120,15,1730,0.15457497169,1,GUE sine-kernel comparison
h002_m120_s15,goe,0.025,3,50,120,15,1729,0.184073875343,1,GOE contrast ensemble
h002_m120_s25,gue,0.025,3,50,120,25,1730,0.118083871407,1,GUE sine-kernel comparison
h002_m120_s25,goe,0.025,3,50,120,25,1729,0.164694917242,1,GOE contrast ensemble
h003_m60_s15,gue,0.025,3,100,60,15,1730,0.240519740117,1,GUE sine-kernel comparison
h003_m60_s15,goe,0.025,3,100,60,15,1729,0.25237801148,1,GOE contrast ensemble
h003_m60_s25,gue,0.025,3,100,60,25,1730,0.182117510654,1,GUE sine-kernel comparison
h003_m60_s25,goe,0.025,3,100,60,25,1729,0.210932734224,1,GOE contrast ensemble
h003_m80_s15,gue,0.025,3,100,80,15,1730,0.235490146852,1,GUE sine-kernel comparison
h003_m80_s15,goe,0.025,3,100,80,15,1729,0.212894475188,1,GOE contrast ensemble
