index,gamma,source
1,14.134725142,sage_odlyzko_zeta
2,21.022039639,sage_odlyzko_zeta
3,25.01085758,sage_odlyzko_zeta
4,30.424876126,sage_odlyzko_zeta
5,32.935061588,sage_odlyzko_zeta
6,37.586178159,sage_odlyzko_zeta
7,40.918719012,sage_odlyzko_zeta
8,43.327073281,sage_odlyzko_zeta
9,48.005150881,sage_odlyzko_zeta
10,49.773832478,sage_odlyzko_zeta
11,52.970321478,sage_odlyzko_zeta
12,56.446247697,sage_odlyzko_zeta
13,59.347044003,sage_odlyzko_zeta
14,60.831778525,sage_odlyzko_zeta
15,65.112544048,sage_odlyzko_zeta
16,67.079810529,sage_odlyzko_zeta
17,69.546401711,sage_odlyzko_zeta
18,72.067157674,sage_odlyzko_zeta
19,75.704690699,sage_odlyzko_zeta
20,77.144840069,sage_odlyzko_zeta
21,79.33737502,sage_odlyzko_zeta
22,82.910380854,sage_odlyzko_zeta
23,84.735492981,sage_odlyzko_zeta
24,87.425274613,sage_odlyzko_zeta
25,88.809111208,sage_odlyzko_zeta
26,92.491899271,sage_odlyzko_zeta
27,94.651344041,sage_odlyzko_zeta
28,95.870634228,sage_odlyzko_zeta
29,98.831194218,sage_odlyzko_zeta
30,101.317851006,sage_odlyzko_zeta
31,103.72553804,sage_odlyzko_zeta
32,105.446623052,sage_odlyzko_zeta
33,107.168611184,sage_odlyzko_zeta
34,111.029535543,sage_odlyzko_zeta
35,111.874659177,sage_odlyzko_zeta
36,114.320220915,sage_odlyzko_zeta
37,116.226680321,sage_odlyzko_zeta
38,118.790782866,sage_odlyzko_zeta
39,121.370125002,sage_odlyzko_zeta
40,122.946829294,sage_odlyzko_zeta
41,124.256818554,sage_odlyzko_zeta
42,127.51668388,sage_odlyzko_zeta
43,129.5787042,sage_odlyzko_zeta
44,131.087688531,sage_odlyzko_zeta
45,133.497737203,sage_odlyzko_zeta
46,134.756509753,sage_odlyzko_zeta
47,138.116042055,sage_odlyzko_zeta
48,139.736208952,sage_odlyzko_zeta
49,141.123707404,sage_odlyzko_zeta
50,143.111845808,sage_odlyzko_zeta
51,146.000982487,sage_odlyzko_zeta
52,147.422765343,sage_odlyzko_zeta
53,150.053520421,sage_odlyzko_zeta
54,150.925257612,sage_odlyzko_zeta
55,153.024693811,sage_odlyzko_zeta
56,156.112909294,sage_odlyzko_zeta
57,157.597591818,sage_odlyzko_zeta
58,158.849988171,sage_odlyzko_zeta
59,161.188964138,sage_odlyzko_zeta
60,163.030709687,sage_odlyzko_zeta
61,165.537069188,sage_odlyzko_zeta
62,167.184439978,sage_odlyzko_zeta
63,169.094515416,sage_odlyzko_zeta
64,169.911976479,sage_odlyzko_zeta
65,173.41153652,sage_odlyzko_zeta
66,174.754191523,sage_odlyzko_zeta
67,176.441434298,sage_odlyzko_zeta
68,178.377407776,sage_odlyzko_zeta
69,179.91648402,sage_odlyzko_zeta
70,182.207078484,sage_odlyzko_zeta
71,184.874467848,sage_odlyzko_zeta
72,185.598783678,sage_odlyzko_zeta
73,187.228922584,sage_odlyzko_zeta
74,189.416158656,sage_odlyzko_zeta
75,192.026656361,sage_odlyzko_zeta
76,193.079726604,sage_odlyzko_zeta
77,195.26539668,sage_odlyzko_zeta
78,196.876481841,sage_odlyzko_zeta
79,198.015309676,sage_odlyzko_zeta
80,201.264751944,sage_odlyzko_zeta
81,202.493594514,sage_odlyzko_zeta
82,204.189671803,sage_odlyzko_zeta
83,205.394697202,sage_odlyzko_zeta
84,207.906258888,sage_odlyzko_zeta
85,209.576509717,sage_odlyzko_zeta
86,211.690862595,sage_odlyzko_zeta
87,213.34791936,sage_odlyzko_zeta
88,214.547044783,sage_odlyzko_zeta
89,216.169538508,sage_odlyzko_zeta
90,219.067596349,sage_odlyzko_zeta
91,220.714918839,sage_odlyzko_zeta
92,221.430705555,sage_odlyzko_zeta
93,224.007000255,sage_odlyzko_zeta
94,224.98332467,sage_odlyzko_zeta
95,227.42144428,sage_odlyzko_zeta
96,229.337413306,sage_odlyzko_zeta
97,231.2501887,sage_odlyzko_zeta
98,231.987235253,sage_odlyzko_zeta
99,233.693404179,sage_odlyzko_zeta
100,236.524229666,sage_odlyzko_zeta
101,237.769820481,sage_odlyzko_zeta
102,239.555477573,sage_odlyzko_zeta
103,241.049157796,sage_odlyzko_zeta
104,242.823271934,sage_odlyzko_zeta
105,244.070898497,sage_odlyzko_zeta
106,247.136990075,sage_odlyzko_zeta
107,248.10199006,sage_odlyzko_zeta
108,249.573689645,sage_odlyzko_zeta
109,251.014947795,sage_odlyzko_zeta
110,253.069986748,sage_odlyzko_zeta
111,255.306256455,sage_odlyzko_zeta
