index,gamma,source,block_label
1000000000001,267653395648.8475231278,odlyzko_block_1e12_10k,block_1e12_10k
1000000000002,267653395649.3623669687,odlyzko_block_1e12_10k,block_1e12_10k
1000000000003,267653395649.6816309165,odlyzko_block_1e12_10k,block_1e12_10k
1000000000004,267653395649.8619899438,odlyzko_block_1e12_10k,block_1e12_10k
1000000000005,267653395650.1576654790,odlyzko_block_1e12_10k,block_1e12_10k
1000000000006,267653395650.4342666839,odlyzko_block_1e12_10k,block_1e12_10k
1000000000007,267653395650.5808912999,odlyzko_block_1e12_10k,block_1e12_10k
1000000000008,267653395650.8344795320,odlyzko_block_1e12_10k,block_1e12_10k
1000000000009,267653395651.0584820011,odlyzko_block_1e12_10k,block_1e12_10k
1000000000010,267653395651.3570661334,odlyzko_block_1e12_10k,block_1e12_10k
1000000000011,267653395651.7017825037,odlyzko_block_1e12_10k,block_1e12_10k
1000000000012,267653395651.9049020916,odlyzko_block_1e12_10k,block_1e12_10k
1000000000013,267653395652.0387527712,odlyzko_block_1e12_10k,block_1e12_10k
1000000000014,267653395652.3029254562,odlyzko_block_1e12_10k,block_1e12_10k
1000000000015,267653395652.7891109498,odlyzko_block_1e12_10k,block_1e12_10k
1000000000016,267653395652.9646206541,odlyzko_block_1e12_10k,block_1e12_10k
1000000000017,267653395653.1790233335,odlyzko_block_1e12_10k,block_1e12_10k
1000000000018,267653395653.2277635657,odlyzko_block_1e12_10k,block_1e12_10k
1000000000019,267653395653.5120490433,odlyzko_block_1e12_10k,block_1e12_10k
1000000000020,267653395653.8376801741,odlyzko_block_1e12_10k,block_1e12_10k
1000000000021,267653395654.0654230031,odlyzko_block_1e12_10k,block_1e12_10k
1000000000022,267653395654.2776766711,odlyzko_block_1e12_10k,block_1e12_10k
1000000000023,267653395654.6227135468,odlyzko_block_1e12_10k,block_1e12_10k
1000000000024,267653395654.9651576868,odlyzko_block_1e12_10k,block_1e12_10k
1000000000025,267653395655.2124889586,odlyzko_block_1e12_10k,block_1e12_10k
1000000000026,267653395655.3331396490,odlyzko_block_1e12_10k,block_1e12_10k
1000000000027,267653395655.6925822766,odlyzko_block_1e12_10k,block_1e12_10k
1000000000028,267653395655.9452935573,odlyzko_block_1e12_10k,block_1e12_10k
1000000000029,267653395656.0926840484,odlyzko_block_1e12_10k,block_1e12_10k
1000000000030,267653395656.4212771810,odlyzko_block_1e12_10k,block_1e12_10k
1000000000031,267653395656.5861648860,odlyzko_block_1e12_10k,block_1e12_10k
1000000000032,267653395656.9792624393,odlyzko_block_1e12_10k,block_1e12_10k
1000000000033,267653395657.2028267543,odlyzko_block_1e12_10k,block_1e12_10k
